,Difference
日本,0.03555292228278638
亚洲,0.026246688838802025
南海,0.020798421836394076
金砖,0.01861117406237414
安倍,0.015198846141505712
东盟,0.01126184975310696
和平,0.010360452624517243
叙利亚,0.010273595831164072
合作,0.009908053932273952
发展,0.008500435865288272
历史,0.008219439056110606
关系,0.007959270850226758
改革,0.007686711172101913
杭州,0.007352190244436909
靖国神社,0.007263859585576508
地区,0.007147617938898393
仲裁,0.007049249723314118
国家,0.007014804535003392
投行,0.006985054949867645
经济,0.006910145360194686
战略,0.006881419180669786
十国集团,0.006865826754236223
新兴,0.006777800083571775
谈判,0.006208734940346776
峰会,0.006156510225852925
钓鱼岛,0.005841483824595362
丝绸之路,0.005840883313160793
增长,0.005755056364577302
参拜,0.0057415366928818
菲律宾,0.005718201921970496
战后,0.0057098338800108586
二战,0.005624223499519104
奥巴马,0.005340246863061359
俄罗斯,0.005192740454403545
东亚,0.00517807305231541
侵略,0.005171370134432835
萨德,0.005154637225218429
各方,0.004981352675312713
务实,0.004949269985901979
韩国,0.004919006988323821
建设,0.004887910839837549
安倍晋三,0.0048840840802638385
大国,0.004858338871878523
欧洲,0.004845518311927492
安全,0.004796641106802946
外交,0.004785303661488689
问题,0.004756341699563186
西方,0.004627265335509679
亚太,0.00462073203325649
周边国家,0.004610664184269161
领土,0.004582735308275532
争议,0.004503155291649074
主席,0.0044981034988440735
g20,0.0044969283880344
未来,0.004469940881816852
伊拉克,0.004424916834206061
2015,0.004389666757150218
领域,0.004341219540547905
加强,0.004308994642809166
交流,0.004305765643381293
2014,0.004281312906726165
右翼,0.004271843376195714
重要,0.004215703306087035
习近平,0.0042037565580689655
恐怖主义,0.0041682122051719265
军国主义,0.0041667521143149994
对话,0.004074570813238355
规划,0.0040725350215294635
区域,0.004065993634515333
推进,0.004001689862637519
基础设施,0.003996491113659193
中东欧,0.0038702612430367256
目标,0.0038396969938545196
胜利,0.0038319620195194234
经济带,0.0038284017371048593
世界反法西斯战争,0.0038009913563737787
德国,0.003772981111933614
人们,0.0037566724739282777
仲裁庭,0.0037478868622427956
需要,0.0037419670235459765
2013,0.003712501596904771
周边,0.003701037728155204
调整,0.0036987301055339183
人文,0.0036975771379999557
网络空间,0.0036096144823751578
邻国,0.0035944555869868635
网络,0.003556912344105397
海上,0.0035467248483028947
中拉,0.0035388024456997048
落实,0.003534432419111745
日本政府,0.003523749694655573
安保,0.0035225800499283683
新型,0.0035140752339580484
部署,0.0034885677143948112
解决,0.0034381401991410154
巴西,0.0034334215036475094
反恐,0.003432351682941812
道路,0.0034250323560631075
东盟国家,0.0033666884179796943
互联网,0.0033621171484309333
发展中国家,0.0033388257374442646
中欧,0.0033370789874912774
印度,0.003317347918316828
动力,0.0032984482677856763
之间,0.0031934397752149775
机制,0.003109192959545538
稳定,0.003077580989303953
深化,0.0030287707049584276
伊斯兰,0.0030234360939275775
投资,0.003014265432225315
金融,0.002996300380456789
伊核,0.0029917139401560693
岛礁,0.0029695058935436365
侵略战争,0.002955014379171457
一个,0.0029428530161207285
传统,0.0029251658260097107
亚信,0.002909794660363775
朝鲜半岛,0.002904132440939361
会议,0.0028992772634215576
同时,0.0028927739747904566
成员国,0.002892207381042293
一体化,0.0028881025594360674
今天,0.002874652994839845
教科书,0.0028729467241547994
提出,0.002845991021702972
整体,0.0028301699144653446
过程,0.002824663343443225
领导人,0.002797167835474063
这个,0.0027918536417002957
意识,0.002767381147553842
金融危机,0.002754419645709173
亚太地区,0.0027422742710956553
进程,0.002738277223991569
访问,0.002693259215158547
发达国家,0.002663199099411324
化武,0.002652380939873405
成为,0.0026498529522994835
新加坡,0.0026433551073755607
银行,0.0026353792348277733
全面,0.002630727309546055
转型,0.00262623645325869
宣言,0.002624028230045021
梦想,0.0026216421089052815
收获,0.0026209000607703183
70,0.002612048183582459
创新,0.0025857436161726716
中东,0.002575923617458558
气候变化,0.0025734206465528563
方面,0.002550728575571145
钟声,0.002550330484036334
2016,0.002534670097689395
东南亚,0.0025339522556704123
昔日,0.0025282222596665987
平衡,0.0025187373923740335
协调,0.002511431028530642
苏丹,0.0025018486073399024
亚洲各国,0.002485526033482343
尽管,0.0024815677630010656
中巴,0.002476354401272348
成果,0.0024395629038770315
时期,0.002433245616065728
十三,0.002432855241525446
索契,0.002432013594360148
国事访问,0.002418036004953718
但是,0.0024092140066524657
此次,0.002404475438170304
两会,0.002403429458365809
英国,0.0024032607130411903
来看,0.0023976501182264914
亚非,0.002396990002361406
芬兰,0.002396862063359676
华盛顿,0.0023903725322371693
海洋,0.0023582279213704184
开发,0.00233831555431171
爆发,0.002337147053680461
对接,0.0023325485809743453
